"ONTOLOGY" "Term" "N" "DE" "P.DE" "FDR"
"GO:0008544" "BP" "epidermis development" 369 242 6.43819160599028e-06 0.000461178906024015
"GO:0035150" "BP" "regulation of tube size" 142 105 6.71011585463918e-06 0.000479136247291387
"GO:0021782" "BP" "glial cell development" 118 93 6.86255167450251e-06 0.000488475129285409
"GO:0007010" "BP" "cytoskeleton organization" 1432 903 7.15706585710383e-06 0.000507836584904688
"GO:0050768" "BP" "negative regulation of neurogenesis" 141 111 7.37931035166774e-06 0.000521964761050253
"GO:0060537" "BP" "muscle tissue development" 419 291 7.45541408723935e-06 0.00052412785405767
"GO:0043408" "BP" "regulation of MAPK cascade" 640 414 7.47238572238746e-06 0.00052412785405767
"GO:0048709" "BP" "oligodendrocyte differentiation" 102 83 7.4795767154126e-06 0.00052412785405767
"GO:0007188" "BP" "adenylate cyclase-modulating G protein-coupled receptor signaling pathway" 241 167 7.61843634958704e-06 0.000528930454744868
"GO:0010720" "BP" "positive regulation of cell development" 423 294 7.67532804418205e-06 0.000531245711622466
"GO:0051046" "BP" "regulation of secretion" 600 394 7.70789643652745e-06 0.000531868425669129
"GO:0048639" "BP" "positive regulation of developmental growth" 155 119 7.92715694348118e-06 0.000545330394124114
"GO:0051961" "BP" "negative regulation of nervous system development" 147 115 8.49970760262993e-06 0.000581021242124622
"GO:0097746" "BP" "blood vessel diameter maintenance" 141 104 9.22646985837122e-06 0.000625183381033899
"GO:0035296" "BP" "regulation of tube diameter" 141 104 9.22646985837122e-06 0.000625183381033899
"GO:0003156" "BP" "regulation of animal organ formation" 27 27 9.697489620732e-06 0.000655132203000589
"GO:0042391" "BP" "regulation of membrane potential" 423 291 1.0039423490962e-05 0.000676207616865872
"GO:0042692" "BP" "muscle cell differentiation" 405 280 1.01973664622871e-05 0.000682859463096483
"GO:0051952" "BP" "regulation of amine transport" 95 76 1.01987076344405e-05 0.000682859463096483
"GO:0090257" "BP" "regulation of muscle system process" 239 168 1.09332897956212e-05 0.000729877961385789
