"ONTOLOGY" "Term" "N" "DE" "P.DE" "FDR"
"GO:0001661" "BP" "conditioned taste aversion" 3 1 0.492438049337265 1
"GO:0001662" "BP" "behavioral fear response" 36 14 0.00643197108028326 0.407677471360298
"GO:0001666" "BP" "response to hypoxia" 282 68 0.00768418289957869 0.448025589007994
"GO:0001667" "BP" "ameboidal-type cell migration" 470 105 0.00634234259748934 0.407677471360298
"GO:0001675" "BP" "acrosome assembly" 27 5 0.251126975497864 1
"GO:0001676" "BP" "long-chain fatty acid metabolic process" 103 19 0.0989037264669784 1
"GO:0001678" "BP" "intracellular glucose homeostasis" 147 33 0.131484790029033 1
"GO:0001680" "BP" "tRNA 3'-terminal CCA addition" 1 0 0.999999999980727 1
"GO:0001682" "BP" "tRNA 5'-leader removal" 13 2 0.511440798503847 1
"GO:0001692" "BP" "histamine metabolic process" 6 2 0.14976750488617 1
"GO:0001694" "BP" "histamine biosynthetic process" 2 0 1 1
"GO:0001695" "BP" "histamine catabolic process" 1 0 0.99999999997584 1
"GO:0001696" "BP" "gastric acid secretion" 13 3 0.414930259939563 1
"GO:0001698" "BP" "gastrin-induced gastric acid secretion" 2 1 0.3682710016862 1
"GO:0001701" "BP" "in utero embryonic development" 378 81 0.0604952231896888 1
"GO:0001702" "BP" "gastrulation with mouth forming second" 26 5 0.712082188860292 1
"GO:0001704" "BP" "formation of primary germ layer" 125 39 0.00280435112926578 0.253841287196925
"GO:0001705" "BP" "ectoderm formation" 3 2 0.0981768524419954 1
"GO:0001706" "BP" "endoderm formation" 57 19 0.0118639760705555 0.55547208825991
"GO:0001707" "BP" "mesoderm formation" 73 22 0.0347731092901859 0.870006084545426
"GO:0001708" "BP" "cell fate specification" 107 44 6.41540836462044e-06 0.00258495132748742
"GO:0001709" "BP" "cell fate determination" 42 21 0.000207598303658845 0.0427200804455102
"GO:0001710" "BP" "mesodermal cell fate commitment" 17 7 0.0515293441597536 0.981421755588041
"GO:0001711" "BP" "endodermal cell fate commitment" 15 2 0.730814036629773 1
"GO:0001712" "BP" "ectodermal cell fate commitment" 2 1 0.270025785486215 1
"GO:0001714" "BP" "endodermal cell fate specification" 8 2 0.417273089607831 1
"GO:0001715" "BP" "ectodermal cell fate specification" 1 1 0.149173494459304 1
"GO:0001717" "BP" "conversion of seryl-tRNAsec to selenocys-tRNAsec" 1 0 0.999999999976348 1
"GO:0001731" "BP" "formation of translation preinitiation complex" 6 0 1 1
"GO:0001732" "BP" "formation of cytoplasmic translation initiation complex" 14 1 0.891951242217417 1
"GO:0001736" "BP" "establishment of planar polarity" 67 17 0.189109714595511 1
"GO:0001738" "BP" "morphogenesis of a polarized epithelium" 87 18 0.52893406180847 1
"GO:0001743" "BP" "lens placode formation" 2 0 1 1
"GO:0001754" "BP" "eye photoreceptor cell differentiation" 47 11 0.174769190818187 1
"GO:0001755" "BP" "neural crest cell migration" 58 16 0.17856610224097 1
"GO:0001756" "BP" "somitogenesis" 64 11 0.685837531691749 1
"GO:0001757" "BP" "somite specification" 4 0 1 1
"GO:0001759" "BP" "organ induction" 22 4 0.768981542130529 1
"GO:0001762" "BP" "beta-alanine transport" 1 0 0.999999999997942 1
"GO:0001763" "BP" "morphogenesis of a branching structure" 195 60 0.00124591495090123 0.145662305451479
"GO:0001764" "BP" "neuron migration" 166 40 0.234967375732105 1
"GO:0001765" "BP" "membrane raft assembly" 11 3 0.370592420000861 1
"GO:0001766" "BP" "membrane raft polarization" 4 2 0.167474503756758 1
"GO:0001767" "BP" "establishment of lymphocyte polarity" 16 6 0.0744090337692156 1
"GO:0001768" "BP" "establishment of T cell polarity" 15 6 0.0528079868944192 0.981421755588041
"GO:0001770" "BP" "establishment of natural killer cell polarity" 1 0 0.999999999956379 1
"GO:0001771" "BP" "immunological synapse formation" 14 4 0.252302153598267 1
"GO:0001773" "BP" "myeloid dendritic cell activation" 29 6 0.212596449849042 1
