"ONTOLOGY" "Term" "N" "DE" "P.DE" "FDR"
"GO:0001667" "BP" "ameboidal-type cell migration" 470 323 8.56870462712954e-08 9.5243473500764e-06
"GO:0001675" "BP" "acrosome assembly" 27 15 0.378998779995281 1
"GO:0001676" "BP" "long-chain fatty acid metabolic process" 103 58 0.171293214130477 0.947086518902253
"GO:0001678" "BP" "intracellular glucose homeostasis" 147 86 0.514907340315632 1
"GO:0001680" "BP" "tRNA 3'-terminal CCA addition" 1 1 0.512759505882715 1
"GO:0001682" "BP" "tRNA 5'-leader removal" 13 6 0.737281169554406 1
"GO:0001692" "BP" "histamine metabolic process" 6 6 0.013557941122484 0.222110529862151
"GO:0001694" "BP" "histamine biosynthetic process" 2 2 0.13938378424967 0.875085060603659
"GO:0001695" "BP" "histamine catabolic process" 1 1 0.396075122994775 1
"GO:0001696" "BP" "gastric acid secretion" 13 10 0.123715121652807 0.827574098442165
"GO:0001698" "BP" "gastrin-induced gastric acid secretion" 2 1 0.837641673299 1
"GO:0001701" "BP" "in utero embryonic development" 378 237 0.057844263175555 0.5575386391684
"GO:0001702" "BP" "gastrulation with mouth forming second" 26 17 0.492778221965018 1
"GO:0001704" "BP" "formation of primary germ layer" 125 99 1.30873529776271e-05 0.000846140494519133
"GO:0001705" "BP" "ectoderm formation" 3 3 0.221474901985127 1
"GO:0001706" "BP" "endoderm formation" 57 47 0.000369602703179181 0.0141831894464882
"GO:0001707" "BP" "mesoderm formation" 73 57 0.00185077825282845 0.0506199684081106
"GO:0001708" "BP" "cell fate specification" 107 99 2.14295014963233e-12 6.62377084606903e-10
"GO:0001709" "BP" "cell fate determination" 42 36 0.00246443582805001 0.0626672264037867
"GO:0001710" "BP" "mesodermal cell fate commitment" 17 15 0.0200357110648762 0.290610799557159
"GO:0001711" "BP" "endodermal cell fate commitment" 15 12 0.0563466718855878 0.550630707850326
"GO:0001712" "BP" "ectodermal cell fate commitment" 2 2 0.303720286568718 1
"GO:0001714" "BP" "endodermal cell fate specification" 8 8 0.0132092118086362 0.218353593589793
"GO:0001715" "BP" "ectodermal cell fate specification" 1 1 0.556679418274141 1
"GO:0001717" "BP" "conversion of seryl-tRNAsec to selenocys-tRNAsec" 1 0 1 1
"GO:0001731" "BP" "formation of translation preinitiation complex" 6 0 1 1
"GO:0001732" "BP" "formation of cytoplasmic translation initiation complex" 14 3 0.997550717856725 1
"GO:0001736" "BP" "establishment of planar polarity" 67 51 0.00751848642316976 0.146163330955214
"GO:0001738" "BP" "morphogenesis of a polarized epithelium" 87 63 0.0213656292309752 0.302161996835383
"GO:0001743" "BP" "lens placode formation" 2 2 0.411126383837327 1
"GO:0001754" "BP" "eye photoreceptor cell differentiation" 47 33 0.0432115481485806 0.472396013771595
"GO:0001755" "BP" "neural crest cell migration" 58 49 0.000243224825780558 0.0102199720091481
"GO:0001756" "BP" "somitogenesis" 64 48 0.00647155861106664 0.131434967146812
"GO:0001757" "BP" "somite specification" 4 3 0.563620708678972 1
"GO:0001759" "BP" "organ induction" 22 22 5.83003410560018e-05 0.0030735721859524
"GO:0001762" "BP" "beta-alanine transport" 1 0 1 1
"GO:0001763" "BP" "morphogenesis of a branching structure" 195 170 5.86836349806191e-15 3.00940349932429e-12
"GO:0001764" "BP" "neuron migration" 166 124 0.000577714757658769 0.0201788789346942
"GO:0001765" "BP" "membrane raft assembly" 11 7 0.527457438350869 1
"GO:0001766" "BP" "membrane raft polarization" 4 4 0.123526271496934 0.827321694881808
"GO:0001767" "BP" "establishment of lymphocyte polarity" 16 10 0.496598422217155 1
"GO:0001768" "BP" "establishment of T cell polarity" 15 10 0.361948994455556 1
"GO:0001770" "BP" "establishment of natural killer cell polarity" 1 0 1 1
"GO:0001771" "BP" "immunological synapse formation" 14 9 0.413398553293567 1
"GO:0001773" "BP" "myeloid dendritic cell activation" 29 19 0.10286529579075 0.759250056939908
